bs	NGUY	NPAR	NMJO	NCAA	NEST	NWST	GUYPAR	GUYMJO	GUYCAA	GUYEST	GUYWST	PARMJO	PARCAA	PAREST	PARWST	MJOCAA	MJOEST	MJOWST	CAAEST	CAAWST	ESTWST	TDIV1	TDIV2	TDIV3	TDIV4	TDIV5	MaxEstLhood	MaxObsLhood
1	100753	169392	91361	708846	104765	304691	4.43986e-05	4.95827e-06	9.43552e-08	1.32980e-06	4.63893e-06	3.65996e-06	3.34835e-07	7.20046e-07	4.46944e-06	6.43997e-06	2.03926e-05	3.24401e-07	5.37951e-05	7.69538e-08	9.95356e-05	10617	24498	38262	70844	90169	-90017.787	-77217.576
2	106603	212404	53816	431920	101163	372653	4.61416e-05	5.86133e-06	5.00228e-08	8.97084e-07	1.92201e-06	1.06624e-07	2.23764e-07	8.83044e-08	4.55943e-06	5.35481e-06	3.17492e-05	3.07543e-06	6.42206e-05	4.38896e-07	1.79603e-04	13640	22440	46406	67858	111042	-81528.527	-76440.239
3	118135	142260	75551	558154	109593	468141	6.48178e-05	2.41491e-06	6.86189e-07	9.14971e-08	1.60928e-06	6.29285e-08	2.03734e-07	4.82199e-06	2.04564e-07	4.73194e-07	8.33959e-06	1.67315e-06	1.19057e-04	1.90145e-07	9.06863e-05	12293	21018	29919	66968	103345	-81519.164	-76456.724
4	115780	135053	59966	512786	109797	336818	5.61028e-05	5.28591e-06	8.76242e-07	2.37898e-07	4.58302e-08	1.11374e-06	2.56718e-07	4.37073e-07	8.62294e-06	2.52562e-06	2.36938e-05	3.18065e-07	5.47794e-05	8.52857e-07	1.23617e-04	21451	23177	47889	87263	110791	-81661.250	-76612.458
5	104675	134994	65665	669584	105416	414116	5.54598e-05	8.43054e-06	3.33977e-08	3.26493e-06	1.09530e-06	2.21497e-06	8.90412e-08	2.54428e-07	2.81246e-07	5.56295e-08	1.22188e-05	1.74123e-07	6.83975e-05	1.88882e-06	3.66957e-05	14031	22739	32037	69322	98813	-82534.890	-77392.036
6	104601	511686	64328	662828	105422	327449	2.58524e-05	3.42685e-06	4.44742e-07	1.09184e-06	4.45000e-06	1.71224e-06	1.03992e-06	2.45263e-07	6.38768e-07	2.85849e-06	8.59533e-07	4.74720e-06	5.60148e-05	4.69831e-06	5.59594e-05	11115	19605	60570	70055	105189	-81627.227	-76545.600
7	102927	122399	75414	434336	108143	524997	1.25198e-04	7.99009e-06	7.70211e-08	5.38025e-07	1.37449e-06	4.88264e-07	1.82888e-07	1.03146e-06	7.05256e-07	5.22467e-07	7.98047e-06	1.38651e-06	6.14966e-05	2.07141e-08	1.06250e-04	15129	16896	36931	86120	98635	-80663.516	-75705.016
8	117226	201681	66236	469252	113622	428506	3.86525e-05	4.67718e-06	8.32501e-07	1.61549e-07	5.00708e-06	1.31249e-06	1.47042e-07	2.87533e-08	6.54213e-07	9.71057e-07	1.20191e-05	3.95265e-08	7.81575e-05	1.57766e-05	5.10136e-05	10659	19225	36530	58619	108515	-81750.656	-76795.018
9	127514	379074	71362	371460	103620	618071	2.24703e-05	4.52964e-06	2.31387e-07	2.25721e-06	3.60890e-06	2.90138e-06	6.23902e-08	2.41122e-06	1.27902e-07	2.65613e-06	8.32201e-06	2.13482e-08	6.24066e-05	9.72815e-06	1.11753e-04	11712	24532	28404	97506	102816	-82223.164	-77157.081
10	104999	438990	80837	436874	102871	315737	4.54384e-05	8.15254e-07	1.55799e-07	1.38239e-07	4.84949e-06	3.45051e-08	6.18217e-08	3.53864e-06	3.84138e-07	4.33968e-07	1.10710e-05	3.98495e-08	5.78003e-05	1.34999e-06	1.02448e-04	11874	24899	33475	76736	97788	-81583.238	-76588.939
