"sp"	"Lat"	"Long"
"Stilpnia_cayana"	1.1	-61.97
"Stilpnia_cayana"	2.819722	-61.3267
"Stilpnia_cayana"	8.569822	-70.8195
"Stilpnia_cayana"	0.146111	-50.455
"Stilpnia_cayana"	2.43	-61.1
"Stilpnia_cayana"	0.021667	-50.9117
"Stilpnia_cayana"	2.083333	-61.2167
"Stilpnia_cayana"	-0.54556	-64.37
"Stilpnia_cayana"	3.486667	-61.0667
"Stilpnia_cayana"	0.8	-50.1
"Stilpnia_cayana"	1.376806	-50.0455
"Stilpnia_cayana"	0.113333	-50.9917
"Stilpnia_cayana"	0.192667	-50.724
"Stilpnia_cayana"	1.096056	-50.2634
"Stilpnia_cayana"	1.377083	-50.25
"Stilpnia_cayana"	0.458333	-50.0553
"Stilpnia_cayana"	7.912619	-71.5181
"Stilpnia_cayana"	8.252267	-72.6477
"Stilpnia_cayana"	2.816667	-58.1833
"Stilpnia_cayana"	2.880833	-58.7189
"Stilpnia_cayana"	6.464994	-59.7892
"Stilpnia_cayana"	8.169278	-62.4266
"Stilpnia_cayana"	10.25569	-66.6512
"Stilpnia_cayana"	5.682453	-66.3766
"Stilpnia_cayana"	3.75	-65.2
"Stilpnia_cayana"	9.3059	-63.6549
"Stilpnia_cayana"	9.491792	-69.3426
"Stilpnia_cayana"	0.700197	-50.551
"Stilpnia_cayana"	-5.06113	-75.2264
"Stilpnia_cayana"	6.449978	-59.4833
"Stilpnia_cayana"	-2.03028	-64.4097
"Stilpnia_cayana"	4.479722	-52.6078
"Stilpnia_cayana"	5.883333	-57.5861
"Stilpnia_cayana"	10.25433	-66.5093
"Stilpnia_cayana"	-4.48333	-75.3167
"Stilpnia_cayana"	6.643833	-72.3463
"Stilpnia_cayana"	6.738611	-59.7467
"Stilpnia_cayana"	-6.75551	-75.174
"Stilpnia_cayana"	6.348033	-62.4266
"Stilpnia_cayana"	8.891944	-62.6608
"Stilpnia_cayana"	5.459619	-64.9863
"Stilpnia_cayana"	5.131364	-59.2417
"Stilpnia_cayana"	9.758056	-65.3217
"Stilpnia_cayana"	7.415294	-64.8108
"Stilpnia_cayana"	5.903583	-61.4602
"Stilpnia_cayana"	8.712222	-63.119
"Stilpnia_cayana"	9.810556	-65.2806
"Stilpnia_cayana"	7.823414	-71.5272
"Stilpnia_cayana"	9.155911	-69.4201
"Stilpnia_cayana"	5.661472	-66.4172
"Stilpnia_cayana"	9.852411	-65.629
"Stilpnia_cayana"	5.13115	-59.2422
"Stilpnia_cayana"	6.926947	-67.4753
"Stilpnia_cayana"	5.448756	-54.7721
"Stilpnia_cayana"	7.195	-72.7517
"Stilpnia_cayana"	4.1478	-72.357
"Stilpnia_cayana"	4.16665	-72.9834
"Stilpnia_cayana"	8.034778	-71.7544
"Stilpnia_cayana"	10.26788	-66.393
"Stilpnia_cayana"	4.608119	-73.8475
"Stilpnia_cayana"	8.569825	-70.8195
"Stilpnia_cayana"	9.314008	-69.4049
"Stilpnia_cayana"	3.346497	-72.1105
"Stilpnia_cayana"	-1.54937	-53.2991
"Stilpnia_cayana"	-1.56584	-53.2387
"Stilpnia_cayana"	-16.3659	-46.2322
"Stilpnia_cayana"	-3.51833	-41.8053
"Stilpnia_cayana"	-7.42079	-45.6344
"Stilpnia_cayana"	-8.07528	-37.3181
"Stilpnia_cayana"	-11.9981	-41.3705
"Stilpnia_cayana"	-8.46083	-35.0506
"Stilpnia_cayana"	-9.76056	-36.5731
"Stilpnia_cayana"	-16.6333	-39.7
"Stilpnia_cayana"	-13.2661	-39.9781
"Stilpnia_cayana"	-10.993	-43.4682
"Stilpnia_cayana"	-11.4711	-37.4106
"Stilpnia_cayana"	-7.02444	-39.3503
"Stilpnia_cayana"	-6.84389	-37.8086
"Stilpnia_cayana"	-9.67973	-37.5262
"Stilpnia_cayana"	-8.41722	-35.7772
"Stilpnia_cayana"	-11.1296	-38.5219
"Stilpnia_cayana"	-9.17561	-43.2947
"Stilpnia_cayana"	-8.63917	-35.3692
"Stilpnia_cayana"	-8.11512	-35.8424
"Stilpnia_cayana"	-22.2974	-45.2981
"Stilpnia_cayana"	-22.4062	-47.9502
"Stilpnia_cayana"	-19.7395	-46.5233
"Stilpnia_cayana"	-22.3206	-47.982
"Stilpnia_cayana"	-22.7108	-48.984
"Stilpnia_cayana"	-22.7326	-45.4225
"Stilpnia_cayana"	-22.8021	-45.094
"Stilpnia_cayana"	-20.044	-43.1084
"Stilpnia_cayana"	-19.5316	-43.9735
"Stilpnia_cayana"	-19.8707	-42.5013
"Stilpnia_cayana"	-21.7021	-52.7074
"Stilpnia_cayana"	-23.1945	-48.0018
"Stilpnia_cayana"	-15.3297	-53.297
"Stilpnia_cayana"	-17.3505	-47.8212
"Stilpnia_cayana"	-19.6824	-48.1695
"Stilpnia_cayana"	-19.7458	-41.975
"Stilpnia_cayana"	-21.2884	-45.2388
"Stilpnia_cayana"	-22.8825	-45.4433
"Stilpnia_cayana"	-21.0634	-47.8388
"Stilpnia_cayana"	-21.1903	-43.1628
"Stilpnia_cayana"	-20.7278	-46.6854
"Stilpnia_cayana"	-22.8129	-45.5138
"Stilpnia_cayana"	-22.4624	-45.8307
"Stilpnia_cayana"	-21.375	-47.9083
"Stilpnia_cayana"	-22.9892	-45.1822
"Stilpnia_cayana"	-22.5578	-45.2702
"Stilpnia_cayana"	-22.5436	-46.4821
"Stilpnia_cayana"	-19.1139	-46.4146
"Stilpnia_cayana"	-19.4442	-46.6121
"Stilpnia_cayana"	-6.34889	-47.8756
"Stilpnia_cayana"	-11.3561	-52.4311
"Stilpnia_cayana"	-14.5666	-54.2497
"Stilpnia_cayana"	-13.0355	-51.6972
"Stilpnia_cayana"	-13.335	-51.6323
"Stilpnia_cayana"	-21.2406	-44.9336
"Stilpnia_cayana"	-19.741	-53.6526
"Stilpnia_cayana"	-15.3333	-48.7333
"Stilpnia_cayana"	-15.3474	-48.5126
"Stilpnia_cayana"	-15.9821	-48.2049
"Stilpnia_cayana"	-16.9464	-48.3696
"Stilpnia_cayana"	-16.9851	-48.756
"Stilpnia_cayana"	-7.125	-43.0333
"Stilpnia_cayana"	-14.3698	-46.3355
"Stilpnia_cayana"	-12.7736	-43.5231
"Stilpnia_cayana"	-9.4496	-45.5841
"Stilpnia_cayana"	-15.596	-48.7702
"Stilpnia_cayana"	-8.79917	-42.5094
"Stilpnia_cayana"	-16.2072	-49.0804
"Stilpnia_cayana"	-15.0338	-47.0584
"Stilpnia_cayana"	-22.4071	-45.3389
"Stilpnia_cayana"	-19.9297	-42.5899
"Stilpnia_cayana"	-8.20722	-49.786
"Stilpnia_cayana"	-11.5778	-46.7997
"Stilpnia_cayana"	-9.29678	-47.5916
"Stilpnia_cayana"	-16.2651	-47.3847
"Stilpnia_cayana"	-17.7	-48.55
"Stilpnia_cayana"	-6.82354	-46.7076
"Stilpnia_cayana"	-14.3955	-55.862
"Stilpnia_cayana"	-12.5327	-39.122
"Stilpnia_cayana"	-8.1625	-47.5022
"Stilpnia_cayana"	-21.5114	-43.4357
"Stilpnia_cayana"	-21.5032	-42.9279
"Stilpnia_cayana"	-18.3731	-42.0933
"Stilpnia_cayana"	-12.7086	-51.4505
"Stilpnia_cayana"	-11.0189	-46.7317
"Stilpnia_cayana"	-17.4859	-53.2498
"Stilpnia_cayana"	-7.9125	-35.3394
"Stilpnia_cayana"	-13.959	-46.3768
"Stilpnia_cayana"	-13.7907	-46.2016
"Stilpnia_cayana"	-20.4897	-41.1003
"Stilpnia_cayana"	-17.5242	-46.8125
"Stilpnia_cayana"	-21.0025	-46.5009
"Stilpnia_cayana"	-18.7793	-44.9984
"Stilpnia_cayana"	-14.5271	-43.6451
"Stilpnia_cayana"	-21.6234	-43.3691
"Stilpnia_cayana"	-11.3992	-39.0342
"Stilpnia_cayana"	-19.6299	-42.5877
"Stilpnia_cayana"	-14.0775	-49.8622
"Stilpnia_cayana"	-16.2844	-47.8448
"Stilpnia_cayana"	-0.75	-53.2333
"Stilpnia_cayana"	-0.04889	-53.8278
"Stilpnia_cayana"	0.630556	-54.2722
"Stilpnia_cayana"	-0.23803	-54.1353
"Stilpnia_cayana"	-1.49392	-53.0413
"Stilpnia_cayana"	-1.55794	-53.3018
"Stilpnia_cayana"	-8.30878	-43.761
"Stilpnia_cayana"	-6.16439	-43.5485
"Stilpnia_cayana"	-3.21667	-41.3833
"Stilpnia_cayana"	-8.73331	-45.4167
