spec	var	rsq	improve.tot	improve.tot.var	rsq.var
1	RAD_10378	PCNM12	0.241932781491278	16268.7813050294	2127.67791538992	0.0316406635836154
2	RAD_10378	MGVF	0.241932781491278	16268.7813050294	295.881369893967	0.00440004702674117
4	RAD_10378	PCNM9	0.241932781491278	16268.7813050294	828.566799330366	0.0123216033613624
5	RAD_10378	PCNM13	0.241932781491278	16268.7813050294	810.914325019736	0.0120590937037488
6	RAD_10378	PCNM10	0.241932781491278	16268.7813050294	564.953434455477	0.00840141331106402
7	RAD_10378	Elevation	0.241932781491278	16268.7813050294	2871.75313555266	0.0427057940489843
8	RAD_10378	bio2	0.241932781491278	16268.7813050294	276.76441790307	0.00411575914542561
10	RAD_10378	PCNM4	0.241932781491278	16268.7813050294	461.636249249305	0.00686498513466145
11	RAD_10378	PCNM7	0.241932781491278	16268.7813050294	935.921895549444	0.0139180792465915
12	RAD_10378	bio13	0.241932781491278	16268.7813050294	151.696767976386	0.0022558801628502
13	RAD_10378	PCNM1	0.241932781491278	16268.7813050294	2030.53726302053	0.0301960865263076
14	RAD_10378	PCNM2	0.241932781491278	16268.7813050294	846.356730752547	0.0125861571414404
24	RAD_10378	PCNM8	0.241932781491278	16268.7813050294	536.153159448085	0.00797312489107659
30	RAD_10378	bio15	0.241932781491278	16268.7813050294	258.925952063321	0.00385048361081544
35	RAD_10378	bio3	0.241932781491278	16268.7813050294	250.172718837266	0.00372031442225018
37	RAD_10378	PCNM6	0.241932781491278	16268.7813050294	378.102375116601	0.005622754254625
42	RAD_10378	TC	0.241932781491278	16268.7813050294	171.140853894934	0.00254503284746927
51	RAD_10378	PCNM5	0.241932781491278	16268.7813050294	630.470422924649	0.00937571537820033
65	RAD_10378	PCNM11	0.241932781491278	16268.7813050294	507.010312745008	0.00753974209298897
80	RAD_10378	bio1	0.241932781491278	16268.7813050294	415.934921369293	0.00618536143301158
95	RAD_10378	PCNM3	0.241932781491278	16268.7813050294	732.19377839433	0.0108884417385822
121	RAD_10378	bio14	0.241932781491278	16268.7813050294	186.016506142525	0.0027662484294652
8639	RAD_10500	TC	0.307725550980954	2464.21110197819	36.261110425236	0.00452821196034273
8640	RAD_10500	Elevation	0.307725550980954	2464.21110197819	24.758531381972	0.00309179384220792
8641	RAD_10500	PCNM2	0.307725550980954	2464.21110197819	392.633408685643	0.0490312424630855
8642	RAD_10500	PCNM5	0.307725550980954	2464.21110197819	70.4237356649678	0.00879436946057192
8643	RAD_10500	bio3	0.307725550980954	2464.21110197819	107.232819590527	0.0133910112105437
8644	RAD_10500	MGVF	0.307725550980954	2464.21110197819	74.1548366763427	0.00926030158528691
8645	RAD_10500	PCNM13	0.307725550980954	2464.21110197819	192.729893858802	0.0240677078074156
8647	RAD_10500	bio14	0.307725550980954	2464.21110197819	653.950396962893	0.0816639637968001
8650	RAD_10500	bio15	0.307725550980954	2464.21110197819	170.460207668158	0.021286715769969
8653	RAD_10500	bio13	0.307725550980954	2464.21110197819	33.9626746384291	0.00424118808551248
8660	RAD_10500	bio1	0.307725550980954	2464.21110197819	90.8366824943662	0.0113434957530308
8661	RAD_10500	PCNM8	0.307725550980954	2464.21110197819	139.355523271529	0.017402427554419
8662	RAD_10500	PCNM6	0.307725550980954	2464.21110197819	45.6449777106582	0.00570004976612998
8664	RAD_10500	PCNM3	0.307725550980954	2464.21110197819	65.4791209493741	0.00817689627147578
8669	RAD_10500	PCNM4	0.307725550980954	2464.21110197819	64.799986538893	0.00809208738051361
8679	RAD_10500	PCNM12	0.307725550980954	2464.21110197819	47.7252307966665	0.00595982743962469
8682	RAD_10500	PCNM11	0.307725550980954	2464.21110197819	33.3833055833056	0.00416883768437758
8686	RAD_10500	PCNM1	0.307725550980954	2464.21110197819	99.7815079861574	0.012460506933883
8692	RAD_10500	PCNM7	0.307725550980954	2464.21110197819	36.2196652965807	0.00452303637898093
8704	RAD_10500	PCNM9	0.307725550980954	2464.21110197819	29.3760702747545	0.00366842248364891
8840	RAD_10500	bio2	0.307725550980954	2464.21110197819	35.5856074421261	0.00444385655446866
8918	RAD_10500	PCNM10	0.307725550980954	2464.21110197819	19.4558080808081	0.0024296007986654
