RAD_10378	RAD_10500	RAD_10656	RAD_10659	RAD_10710	RAD_10901	RAD_10964	RAD_11057	RAD_11067	RAD_11178	RAD_11258	RAD_11392	RAD_11437	RAD_11519	RAD_11614	RAD_11683	RAD_1205	RAD_12138	RAD_12224	RAD_12792	RAD_1712	RAD_2078	RAD_2134	RAD_2318	RAD_2415	RAD_2502	RAD_274	RAD_2839	RAD_2889	RAD_2909	RAD_2935	RAD_2946	RAD_3173	RAD_3389	RAD_3485	RAD_3909	RAD_4092	RAD_4104	RAD_4148	RAD_4436	RAD_444	RAD_4629	RAD_4724	RAD_4767	RAD_4858	RAD_4883	RAD_4975	RAD_5199	RAD_5241	RAD_5315	RAD_5374	RAD_5586	RAD_5649	RAD_5729	RAD_5883	RAD_621	RAD_6357	RAD_64	RAD_6553	RAD_7080	RAD_7089	RAD_7284	RAD_7473	RAD_7529	RAD_7578	RAD_7706	RAD_7709	RAD_7724	RAD_7797	RAD_7859	RAD_7911	RAD_8052	RAD_8232	RAD_8867	RAD_9270	RAD_9337	RAD_9361	RAD_947	RAD_9760	RAD_9895
bio1	0.0106866082904556	0.00381564841555164	0.000282564585042321	0.0811922001804464	0.0012377399715084	0.00792991824429677	0.00156986918622104	0.00856723545975652	0.00486497340293704	0.0040049773887956	0	0.0308872545739636	0.0309777604105418	0.0458522135956733	0	0.000650302072995344	0.00336589962430502	0.0203352481671958	0.0182766475219816	0.00393711305601616	0.0772279040619101	0.00749156268838026	0.00558926662049846	0.00850544069363599	0.0436516399246167	0.00838580112300158	0.000798437235425068	0.00155142700543062	0.0784935244538839	0.00778831525395517	1.54012616146311e-05	0.00226364411671182	0.00326285626455876	0.016908729519524	0.0493357106006812	0.00284413509269485	0.0258375924966988	0.00744077601091416	0.0116283263139101	0.107190272519407	0.00413758468926188	0.0288015288180625	7.60035481108246e-05	0.000442520590164932	0.00163413166113638	0.103957342479721	0.00474737840263489	0.00775638244494942	0.0115830834955197	0.0325389416710046	0.000736245558847375	0.000321585379999874	0.00291705794217683	0.00978490042269488	0.0130363465905292	0.00267561697473673	0.00272352580972691	0.00269748109996793	0.0943695801819798	0.0527494049054638	0.0208304583651155	0.00480024960234572	0.00801485828052319	0.000797381884773356	0.00358327219301816	0.00549129873927062	0.12507024941046	0.0042236786876457	0.047557439006469	0.0135406791784953	0.00015494700234806	0.00595433623948322	0.00970044549649932	0.0486608266307829	0.0220653305518535	0.000339117274787133	0.103200036069353	0.00434184047723843	0.00611056398590172	1.12448790076321e-05
bio13	0.000519559671905919	0.00666663356624121	0.00025931531764546	0.0161832869333181	0.00041828227076311	0.0112522185109951	0.0024295587297559	0.000831809829442105	0.00103335354105253	0.0281726368214013	0.00312386939735786	0.0196719537606824	0.0148644199150719	0.0393448436790566	0.000299398755723685	0.00876529516797427	0.00124965097393649	0.0824988033516138	0.00490323488468152	0.00143743416746223	0.0210919438859132	0.0012231735033103	0.0109873859983767	0.0320818422266574	0.022797712168059	0.000638321514616426	0.0046239369370692	0.00209044763674274	0.00258178703011274	0.0290472808437828	0	0.00785222109026333	0.00739610902743286	0.00162728595920582	0.0111847790987895	0.0003666691614535	0.0091435988707924	0.0328953915892221	0.00216077420211784	0	0.0314530995985386	0.00238915975404107	0.00016137398070486	0.000739575099369913	0	0.0303139560843749	0.00171425998411241	0.00520079113557253	0.000454862824823252	0.0239329597047127	0.00442111765020709	0.00788346600689413	0.000337030811630661	0	0.0829931456176333	0.000996156889798625	0.00498579934752197	0.0117692087789719	0.0158621171278519	0.0177507855215873	0.00672701808358592	0.00189967457238174	0.00124744349569772	0.0021482100802376	0.00237958369208807	0.0369036197473164	0.0271675319704603	0.000424099393424645	0.010245529600414	0.000744076403379912	0.000207939387410454	0.00170155486034873	0.00375145044547578	0.00326770998396683	0.090779438296102	0.00152935411027159	0.000625412823897823	7.8290504510654e-05	0.00166317902571423	0.000112292071711186
bio14	0.00206914828554591	0.0787072210833374	0.00396693766666204	0.000600607407066166	0.0108386699116331	0.0117720099597571	0.00141058824957353	0.00366247140703311	4.10409846133411e-05	0.00373192006809291	0	0.00804944802229697	0.00428851783211367	0.00493287304091791	0.00272841864922627	0.0922717722224993	0.000878340822633862	0.00233081116056864	0.0160711985391935	0.000680024474493346	0.0013663127878869	0.0129560927019683	0.000208990256196963	0.000484725394734901	0	0.000472363661078054	0.000181410719707108	0.000401468176763566	0.0193028617207111	0.00252985063844074	0.000425552200287937	0	0.000519458173246557	0.000845627559993511	0.0127216493292916	0.00136703807434386	0.000553678417632923	0.00519601540346291	0.0161048601325065	0.00686213363775388	0	0.00660943243997141	0.000322454210548513	0.00363176349703203	0.00233411622733506	0.0188062849710983	0.000553746731220454	0.00110603437644743	0.0011714086798206	0.0125790515508945	0.000474378711110908	0.00259261485902282	0.000813750048214767	0.0291930242330313	0.00417250093922766	0.0259256804152004	0	0.000131816446133321	0.0124927508853941	0.0146805005463495	0.00633936046762845	0.00117134630781199	0.000590270625320191	0	0.0232432809195831	0.0317488437178743	0.00236810859517375	0.00354002694358021	0.0239693670640691	0.000496915915529375	3.56180126606288e-05	0.00103464784483892	0.00074125358492799	0.000453127267589174	0.00162393920361033	0.00171906252225584	0.00827603695448155	0.0001606336319456	0	5.44039740858241e-05
bio15	0.00920798027388486	0.018068152909667	0.00358413313050297	0.00179512882511638	0.037394546019926	0.0975203869107981	0.000672585489401423	0.000460772083423008	0.00134785368267876	0.000559335033710169	0.000840049136121768	0.00294803521938197	0.000969579817694552	0.00618296286216674	0.000322880486632001	0.0461191397318625	0.000530557078364045	0	0.00995422469533611	0.00238574600162003	0.00102685954681734	0.00160909325105705	0	0.00219599766990844	0.000133117288316947	0.00183032101870896	0	0.00121562732173366	0.00212303379257675	0.00255320378533839	0.000675607651379368	0.00327553327308164	0	0.00359151338436577	0.0103294171909603	0.00165638362580732	0.000283594855119609	0.00313309486403968	0.00262867530079836	0.0049239149442817	0.000397031261533848	0.00161235554364228	0.00103167052568601	0.000494674717417193	0.00360624733616335	0.000984243946220988	0.00132097668896336	0.00210146531525012	0.000319444382923766	0.0250243154237724	0.00159357509972824	0.00407158791533818	0	0.00153849687304442	0.00159655470044418	0.00844038107031513	0.000231261280506662	0.000251516184211904	0.00017864740790069	0	0.00306693290778083	0.000406198018789549	0.00400455898889014	0	0.00349510152996091	0.0213844267597977	0.0172657260970136	0.00412895256487338	0.00497758713198606	0	1.12504796442796e-06	0.00426507532636656	0.000669780137506955	0.0312711597341612	6.00192129405931e-05	0.000138110330993009	0.00355037061031857	0.0015834549690536	0.000113448325443175	0.00016689328871393
bio2	0.00520240252186633	0.00607942891808793	0.00228409715099027	0.012131729722878	0.00064853622294416	0.00851468440518116	0.00141461737113219	0.00297043353706065	0.000293425791814271	0.00170665812920199	0.00756499210357733	0.00599171977765221	0.00655420444867728	0.00269059078884406	0.00087540137268459	0.00118938043843634	0.000300676267288886	0	0	0.036935488509936	0.0045384196301885	0.00172818876128956	0.00729868748390947	0.000609525582779246	0.0162752932955676	0.00112390035241034	0.000955926468520395	0	0.00386486928427588	0.00136562662387118	0	0.0170057606640967	0.0014536315752383	0.0118371743587994	0.00463382772566394	0.00051051917358261	0.0113816659998269	0.00157263426608124	0.00623879606807898	0.00396416886370408	0.00238861997768158	0.00398954720165454	0.000456998571925508	0.00032695234234695	0.0123397952896858	0.0179139659161238	0.0149957043156801	0.00713669726033084	0.00484944342894835	0.013011690516584	0.00266424976209544	0.00497405399654844	0.00190197236340631	0.118069456225262	0.00921220924694105	0.0173382169204533	0.00295420649272036	0.00307882996070767	0.0159387745659446	0.0161594676331392	0.00342314212416961	0.00229457299145622	0.00117215137495289	0.00108407909674113	0.0171372369699216	0.00503583560006127	0.00966856602848738	0	0.0105216014193074	0.00192770446639513	0.000132241336230159	0.0205562466404953	0.00244812089414172	0.0161026869377001	0.0150253536529513	0.00420967549763582	0.00498792098775507	0.000351459662280873	0	5.46112074820928e-05
bio3	0	0.0198256391431527	0	0.121367072587585	0.0014281359201373	0.00331056485388557	1.20803071455261e-06	0.00282990747377358	0.00869453657615155	0.00973547459889184	0	0.015468344809272	0.0863022539723436	0.0687180347723841	4.2999420597079e-05	0.0105388117839069	0.00159921773989972	0.0204330682648273	0.0915409086141378	0.00423113981492845	0.0584018089108308	0	0.00156895009045476	0.00633067225230378	0.00474369819202245	0.000438280901781607	0.000749814574744778	0.000681224269665744	0.0302576078821237	0.00678551361620988	0	0.000772137360828884	0.000733085954323494	0.0215815869990903	0.055890751612258	0.000827145680377835	0.00359334032343266	0.0158760135203326	0.0217517249799364	0.0983315785846842	0.00605019380753885	0.0647156253821698	0.000114393537142335	0.000102096419997404	0.00214023320853847	0.223616292623253	0.0183141557042548	0.00172264854131687	0	0.0766709353428997	0.00675850620976205	0.0274171102811267	0.00607733654074716	0.00424521744415828	0.0115446342947442	0.00154086400292627	0.000773058367972773	0.00169819269291672	0.243023519874201	0.137082802375603	0.04423733840171	0	0.00982289353701016	0.00491135702225343	0.00409270979632722	0.0220074492986571	0.0398746810537177	0.00189947049301786	0.133941535201802	0.00449920556015971	0.00019665975054474	0.00463705617251878	0.00339980495416272	0.0250856497694275	0.0162133091791242	0.0015587146885498	0.0896712495035713	0.00185814094350759	0.00210207912690662	1.21614710742004e-05
TC	0.00141123101920861	0.00235007819682182	0.000545548771679545	0	0.00390200036551077	0.0275380196736119	0.000141875231848847	0.000374445488172466	0.000720480494714391	0	0	0.000192171512509393	0.0153297910749451	0	0.000173705587332025	0.0252905625091423	0.000192494906049809	0.00375279280889433	0.00856567189385379	0.00747367308528577	9.98621559628184e-05	0.000367968691321743	0	0.000339223601723432	0.000903034188599859	0.00196170648796107	0	0.00145586975046548	0.00353179849186003	7.39390589809871e-05	0	0.000580934503343482	0.000788188608299395	0	0.000686021045304968	0.00183514117884376	0	0.00325810513971988	0.000584337530587234	0.00475789613223469	0	0.00253282952671052	0.000336436060978894	4.44184157795823e-06	0.00277546861529477	0.000959954211208463	0.00371914431004409	0	0.00169482170763236	0.00777003541597016	0	0	0.000363207814637801	0.00580072442657055	0.00271816883107389	0.000939241908142129	0	0.00172558620373545	0.000706209393762895	0.000621785694048029	0.00218576683626556	0.000127511275297913	0.00183551128548069	0.000239766272044996	0.00129062461465622	0.0109269120807927	0.00192883220267381	0	0.000552266198887723	0	0	0.00259239081900291	0.00826957415603528	0.0036877947402244	0.000839118042394627	0	0.0098468926634772	0.000359236114062294	0	8.59488074538116e-06
MGVF	7.74218314940661e-05	0.00885799275112661	0.00127925232709622	0.00199083655513043	0.0110508058499702	0	0.00204098950359712	0	0.00404314525172309	0.00593270776004891	0	0.00123391856710838	0.000861475865163989	0.000332272861973227	0	0.00692730158202962	0.00100959777579118	0.00398372035848583	0.00957996514070523	0.00975094014911355	0	0.00276858726322462	9.99239385861325e-05	0.00127295667080509	0.00122229203641122	0	0	7.88218185578271e-05	0.000135908764637558	0	0.000104133309289376	0.00367435062631784	0.000869480635155948	0.000182420800865176	0.0121575434674401	0.000911958333851769	0.000395851788909202	0.000376654120789745	0.00491585928776171	0.186033890624716	0.00289512158613631	0.0735408463588289	6.15455791623352e-05	0.000479873263756744	0.00255944581544387	0.000811943510479731	0.00400229566827306	0.00405094933216183	0.000659370656393137	0.00371039486536448	0.000685559929899837	0.000287581025109019	0	0.000283387231018478	0.00138068091363317	0.000288351713121328	0.00102471105747657	0	0.00137125194936265	0.00154263899332862	0.00736634560250252	0	0.00102676881921225	0	0	0.00329316023062735	0.00384688800244968	0.00401287324747364	0.00913934446427915	5.98940290923593e-05	7.88437200306935e-06	0.00279852417244185	0.00497684394628363	0.00482477525916945	0.000761860207315948	0	0.164203295397993	0	0.000187771062859289	0
Elevation	0.0744399963960122	0.00742778264820138	0.00328320780639977	0.00644850339589838	0.000435844662510275	0.0023844917904494	0.00394210009678765	0.00184014776344196	0.000126227381177492	0.00150024077660595	0.00177864812350551	0.0336262713709339	0.0169174006442021	0.0128676453206898	0.00459507689920786	0.00104342306350789	0.00264383906442089	0.0544370073965504	0.00386224233757911	0.00589753976159291	0.0157106358050597	0.0205160535076658	0.00956616056808054	0.0126340217014235	0.0295196427559192	0.01545315672509	0.00232652524401933	0.000345069955474869	0.0217949902037133	0.0176599822548312	4.77079587308582e-05	0.00117733274321646	0.00216371877421574	0.00390641422193956	0.0179950668706395	0.00499352194087687	0.0151899006079475	0.0061576000082125	0.000963879699239295	0.00226646922260404	0.0106196610445013	0.00165676570462409	0.000288792791594025	0.000540639829132506	0.00127098557435897	0.0205671956101648	0.00267824739666904	0.00450584334640088	0.00525987528539921	0.0212748221658499	0.000976876341005813	0.000382277567103904	0.000636208160289649	0.0169203280012526	0.0723195041364679	0.00315562868622844	0.00919441356409151	0.00132141021405305	0.0122789614891522	0.0142692291516231	0.00590675202991809	0.00184496529040605	0.00735588224518644	0.0113107152344136	0.00572764817302511	0.00798322560702467	0.0941213265368259	0.00148539751322739	0.0202168785959323	0.0153047801056783	0	0.00618376167585809	0.00790535748582091	0.0137044865588606	0.0461160625464627	0.00108457694075794	0.00334027303672701	0.000918078923597452	0.000405376256351265	1.92210693305084e-05
PCNM1	0.0503911916532979	0.0116674117910814	0.0212464987499092	0.0893765981013466	0.0958643744744589	0.00368806400215109	0.00168127560946901	0.000142216359783011	0.000787225808000746	0.0191638020805857	0.00065692321996124	0.0568888789426314	0.126442042217001	0.11420202471339	0.00163954368788388	0.00915551114711153	0.000794993907828856	0.0115904774563451	0.00303219170112813	0.0183831936891962	0.0687621575192377	0.0399311948828359	0.0305430248304385	0.00427008692631916	0.0596560372789742	0.00263027197322064	0.00687970787636161	0.00274515761186192	0.168309528384464	0.00218307042358326	0.00335487068262125	0.00909569584696195	0.0321548882898883	0.0304807362179436	0.100719335874912	0.00837647143464918	0.0267640305349337	0.0200070859347286	0.00956659803677584	0.0059707867171015	0.00611679007667247	0.00171395354855435	0.00380126890671555	0.00151289098646783	0.00629682198723347	0.237691630793412	0.0112742385729386	0.00514984013784575	0.00941074867212764	0.0661467710491239	0.00204003970665741	0	0.00061277622380737	0	0.00405187597064822	0.0089570802374068	0.0100529424803639	0.0193715182170463	0.194428116006418	0.173762948053154	0.0119658381563885	0.00523211377785261	0.00431015566709711	0.00122120614706549	0.00416566638258877	0.177732311902224	0.0934858658572649	0.00405611563450533	0.140227256423782	0.00844013108497267	0.000177129405053708	0.0129100952773006	0.0169116723379429	0.0361160105767293	0.197401711780774	0	0.00294243043731882	0.00162204548973858	0.00325712198323457	0
PCNM2	0.00640767839761565	0.0510701840259346	0.00433262540914659	0.00974020091603545	0.00607745984335727	0.00938559286789827	0.00167774379475027	0.00190134548716007	0.00167535439580894	0.00815152978163862	0.0056875113154157	0.0116214060952821	0.0253523050371196	0.0287643796074814	0.00375513501835191	0.0461204362250618	0.00144007121491315	0.193677168695694	0.0231551243644413	0.0120658527066296	0.0215577056458689	0.011506815734259	0.032326722813398	0.0598717814655904	0.0353836079856487	0.00244711387446625	0.0051094342415531	0.00315887052440383	0.0222581419846862	0.0672686705589455	0.00019853310624566	0.0379992108015768	0.0113085304057304	0.0441787872062854	0.0305797958578136	0.00916826654361184	0.0289233076526781	0.00839532185504736	0.0588327375342902	0.00495138008799066	0.0351845702699019	0.00196831670538767	0.00197358764109647	0.0002911905150362	0.0127698001056638	0.036725032492601	0.0374581200409305	0.027224414517686	0.0081693331416247	0.142913799908419	0.00119204033767702	0.00148594847496358	0.000537036804802563	0.00464930081781655	0.099933438611064	0.00572510698695817	0.0143037974544785	0.00661129171713913	0.0362767407731958	0.0140600829164224	0.00758161715637691	0.0043113879745815	0.00314777415700649	0.00307186637719936	0.0059351945675258	0.000889170060823997	0.066418496224042	0.00136404704329734	0.147943967464449	0.00220896792864134	4.75622505775957e-05	0.0279451469368432	0.0134727147784329	0.056271595028702	0.0823795878482615	0.00678663012788371	0.00568603369166716	0.0103937654564234	0.00200089647738357	0
PCNM3	0.00807524092685757	0.00532667000825008	0.00123069554133285	0.0591045495552731	0.007464756428781	0.00692602238222758	0.00533973364836188	0.000987579217311971	0.0020979390368854	0.0710076003449414	0.00377396161644385	0.0102962958093074	0.00374382260889259	0.012331507070331	0.00180560602541106	0.00589110786802258	0.00107627075330192	0.00126263747414003	0.000598500604027778	0.00448142138187128	0.0124528396583419	0.00517273414044091	0.000758359000364686	0.00145723030463269	0.00583109669493559	0.00091026096046904	0.000416682347140377	0.00159771116469146	0.026922976227518	0	0	0	0.00214094081423186	0.0132846132722112	0.00244874674177331	0.00296593981177801	0.0139403040041842	0	0.00488141518861789	0.00289137535367401	0.00481321035997492	0.00430641634066025	0.000460092851206317	0.000903869372736002	0	0.0158094594802128	0	0	0.00161448211001794	0.00405038443824318	0.00231246712991226	0.0140277849674301	0.00448037197657699	0.0436889488187554	0.00666212151323881	0.00375372545803833	0.000876353018080761	0	0.018204938321938	0.00619706033548661	0.00369291385143699	0.00126177835119144	0.00593520805378777	0	0.0125306297409277	0.00168975815804785	0.0121354432302679	6.39555887391251e-05	0.00577186031268615	0.00169412995429115	0.0002199179227778	0.00267071831704197	0.00329245686239998	0.00813482171941284	0.0147993749322342	0.00225374685788132	0.00541276917892354	0.00109615821433182	0.00501262008948097	0.000394930344362359
